,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
47836,47837,B004SRH2B6,AKACGHPVILE9R,"Sophronia ""Euphemia""",1,1,1,1314144000,Switched to O.N.E.,Must admit the taste of O.N.E. coconut water is better.  Took a long time to get through the supply of coconut water.
47837,47838,B004SRH2B6,A2GO0AIHB846UX,vinny,1,1,5,1313884800,WOW!!,I love this stuff!  Perfect blend of dark choc and coconut water.  I really like how smooth and refreshing this stuff is.  I am lactose intolerant so I can't drink choc milk but I think this stuff comes really close and it is better for you than cow's milk.  I look forward to buying case after case (=.
47838,47839,B004SRH2B6,AI1U3M3GW9X2W,Reformed Puritan,1,1,3,1311379200,It was a good deal but not likely to buy again,"I am from the Philippines, a country where there is an abundance of coconuts. I miss drinking coconut water which is something that you can easily get in my country by buying fresh coconut. So, I decided to try this product hoping to get the same satisfying taste that one would get from fresh coconut water. It turned out to be a disappointment. I do not doubt that this is indeed pure coconut water but it does have a sort of artificial flavor and smell to it. It might be just due to the plastic bottle itself."
47839,47840,B004SRH2B6,A3EZMN1NFHWECF,"Dorian G. Shreve ""Dorian Grey""",1,1,1,1310947200,You couldn't pay me to drink this!,"I recently started researching the benefits of drinking coconut water and consuming coconut oil daily because I have been trying to change my lifestyle from one of total nutricious abandon to healthy yet happy.  I absolutely love cooking with coconut oil, adding it to my morning coffee, using it as a skin moisturizer, anything and everything I possibly can use it for, and have been telling all of my friends and family.  I never really liked coconut so it did take a little bit to get used to the coconut taste with the oil.  The coconut water, however, was a little trickier.  I knew it would be very beneficial to hydrate myself with it after a hard workout so this is what I decided to do: I bought the Zico 14-ounce bottle of natural coconut water from my local supermarket and also bought a can of Goya's coconut water with pulp to see which one I would be able to drink.  I tried the Zico first thinking that since it's in a plastic bottle and so much more expensive it would be the natural winner.  I had chilled the coconut water in the fridge all day and when I opened the bottle and poured it into a glass I noticed a funny odor immediately.  After my first taste I was horrified at how terrible it was.  It's hard to describe, kind of plastic(y), bitter, and just nasty!  I've had coconut water/milk straight from a coconut before and it was delightful, Zico's does not taste a THING like that.  I know that this has no added sugar whereas Goya adds a little and Zico is ""supposedly"" pure but from concentrate.  I tried another sip thinking that it would grow on me, but no, not one little bit.  I then decided to open up the Goya, cautiously I tried it and I LOVED the coconut pulp and the taste immediately.  I know everyone has different tastes and I will admit that I was never a coconut lover before, but I figured since I have grown to love coconut oil I would be okay, but again, it may be an acquired taste.  My suggestion would be to try a can/bottle of different brands before you give up on drinking coconut water.  I am so glad that I didn't just buy the Zico because I would have signed off on even trying if I hadn't had the Goya right there to redeem itself."
47840,47841,B004SRH2B6,AJQS35BZ2GMU4,L. Knight,1,1,5,1310601600,My favorite coconut water in a great container!,"I've tried several different coconut waters and the ZICO tastes the best to me. Use this in my smoothies daily. I was getting this product in the smaller tetra pak, but after opening the package you couldn't shake it up without spilling it. This works much better and I've taken as long as a week to use the 33.8 size with no degradation in taste."
47841,47842,B004SRH2B6,A1JI6OOS9NUHW,David Bango,1,1,1,1309132800,Almost Undrinkable,"After hearing good things about coconut water from friends, my wife and I bought a case of Zico from the warehouse club.  We were pretty excited to try it and let it chill in the refrigerator for several hours.<br /><br />In a nutshell, this beverage is truly disgusting.  It has a musty smell and it's difficult to even take a drink, something just seems off.  There's a foul flavor almost immediately while taking a drink which is followed by a deplorable aftertaste that is still wreaking havoc on my taste buds almost an hour later. My wife was able to take about two drinks and I struggled to drink half the bottle and could not stomach any more.<br /><br />We were very disappointed and will be returning this awful product."
47842,47843,B004SRH2B6,A1CZLQNSWILK61,Norma Ybarra,1,1,4,1309046400,Better Than Expected Taste,"Overall, good taste but still leaves an after taste.<br /><br />Pros: Fast hydration. New flavors (Mango is the best thus far in my opinion). Low calorie.<br /><br />Cons: After taste especially towards the end or if warm. Formula has changed despite what Zico says."
47843,47844,B004SRH2B6,AG6LPO1CQBGC2,RJ,1,1,1,1309046400,Will NEVER EVER buy this again,This is the worst coconut water that we have ever tried. It tastes like the  coconut tree root and stem soaked water. I will newer recommend this not even once.
47844,47845,B004SRH2B6,A1DXWOGNWW5EPC,hemavathi,1,1,3,1308960000,product changed?,"We luved original Zico, but now its taste totally different.<br />When introduced it was pure coconut water which was just pasteurized.  Now it says its from concentrate.<br /><br />Taste little different now!"
47845,47846,B004SRH2B6,A8W6AQ5N6Z4MY,AK907,1,1,1,1308960000,Plastic,"This tastes like plastic. And coconut water from ""concentrate"" and ""natural flavors"" is not coconut water. I'll just go back to buying mine at the grocery store that has pulp in it, and comes in a glass bottle."
